scope,city,province,rate,freeAbove,excluded,active
city,Defence Market PO (KP-2025) PO,,0,,yes,yes
city,Defence NPO (KP-1847) PO,,0,,yes,yes
city,Defence Phase-Vi PO,,0,,yes,yes
city,Dehli Colony PO,,0,,yes,yes
city,Dera Allah Yar NPO,,0,,yes,yes
city,Dera Ghazi Khan City PO,,0,,yes,yes
city,Dera Ghazi Khan NPO,,0,,yes,yes
city,Dera Murad Jamali NPO,,0,,yes,yes
city,Dera Town Ship SO,,0,,yes,yes
city,Dharampura PO,,0,,yes,yes
city,Dheri Hassan Abad PO,,0,,yes,yes
city,Dhoke Chaudrian PO,,0,,yes,yes
city,Dhoke Gujran PO,,0,,yes,yes
city,Dholanwal PO,,0,,yes,yes
city,Dina NPO,,0,,yes,yes
city,"Directorate General NPO, Islamabad",,0,,yes,yes
city,"Directorate General PO, Islamabad,",,0,,yes,yes
city,District Comp Box Okara PO,,0,,yes,yes
city,District Court Karak SO,,0,,yes,yes
city,District Court T.T Singh SO.,,0,,yes,yes
city,Distt: Courts SO,,0,,yes,yes
city,Drigh Colony NPO,,0,,yes,yes
city,Driving Licence Br PO (KP-2209),,0,,yes,yes
city,Driving Licence PO,,0,,yes,yes
city,Dubb PO,,0,,yes,yes
city,Dumba Goth PO,,0,,yes,yes
city,EME Centre PO,,0,,yes,yes
city,EME Colege PO,,0,,yes,yes
city,Eastern Half Okara Cantt PO,,0,,yes,yes
city,Eidgah NPO,,0,,yes,yes
city,Eidgah PO,,0,,yes,yes
city,Ep Center Committee Chowk,,0,,yes,yes
city,Ep Centre Sadar Bazar NPO,,0,,yes,yes
city,Ep Centre TSO Rohtas Road,,0,,yes,yes
city,Epc Adjacent Pmg N/S Hyd,,0,,yes,yes
city,Epc Tank Adda SO,,0,,yes,yes
city,Express Post Center Bannu Cantt.,,0,,yes,yes
city,"F-Block, Satellite PO",,0,,yes,yes
city,"F. B Area Blaock-13, PO",,0,,yes,yes
city,F. B Area Block-13 NPO,,0,,yes,yes
city,F. B Area NPO,,0,,yes,yes
city,F.F.Daharki PO,,0,,yes,yes
city,Faisal Town PO,,0,,yes,yes
city,Faisalabad City NPO SO,,0,,yes,yes
city,Faisalabad City SO,,0,,yes,yes
city,Faisalabad Kutchery PO,,0,,yes,yes
city,Faisalabad NPO,,0,,yes,yes
city,Faiz Bagh PO,,0,,yes,yes
city,Faizabad PO,,0,,yes,yes
city,Farid Town PO,,0,,yes,yes
city,Farooq Ganj PO,,0,,yes,yes
city,Fateh Abad PO,,0,,yes,yes
city,Fatto Mand PO,,0,,yes,yes
city,Fazal Fruit Market PO,,0,,yes,yes
city,Fazal Nagar PO,,0,,yes,yes
city,Fca PO,,0,,yes,yes
city,Ferozpur Road PO,,0,,yes,yes
city,Firdous Colony NPO,,0,,yes,yes
city,Firdous Colony PO,,0,,yes,yes
city,Fish Harbor PO,,0,,yes,yes
city,Flatties Hotel PO,,0,,yes,yes
city,Fort Area TSO,,0,,yes,yes
city,Fort Iqbal Garh SO,,0,,yes,yes
city,Fortress Stadium PO,,0,,yes,yes
city,Frontier Colony (KP-980),,0,,yes,yes
city,Future Colony PO,,0,,yes,yes
city,Garjakh PO,,0,,yes,yes
city,"Gawal Mandi, Rawalpindi PO",,0,,yes,yes
city,Gawalmandi PO,,0,,yes,yes
city,Gharib Abad PO,,0,,yes,yes
city,Gharibabad TSO,,0,,yes,yes
city,Ghaziabad PO,,0,,yes,yes
city,Ghotki NPO,,0,,yes,yes
city,Ghulam Muhammad Abad NPO,,0,,yes,yes
city,Gilgit Airport SO,,0,,yes,yes
city,Gilgit GPO NPO,,0,,yes,yes
city,"Gilgit, Chief Court PO",,0,,yes,yes
city,Godhra PO,,0,,yes,yes
city,Gojra City PO,,0,,yes,yes
city,Gojra GPO NPO,,0,,yes,yes
city,Gor Estate PO,,0,,yes,yes
city,Grain Market PO,,0,,yes,yes
city,Grain Market SO,,0,,yes,yes
city,Gujar Khan NPO,,0,,yes,yes
city,Gujranwala GPO NPO,,0,,yes,yes
city,Gujranwala Kutchery PO,,0,,yes,yes
city,Gujrat City NPO,,0,,yes,yes
city,Gujrat City TSO,,0,,yes,yes
city,Gujrat GPO NPO,,0,,yes,yes
city,Gujrat R.S. PO,,0,,yes,yes
city,Gulab Devi Hospital PO,,0,,yes,yes
city,Gulberg Colony NPO,,0,,yes,yes
city,Gulberg N. PO (Cpol-1318),,0,,yes,yes
city,Gulberg PO,,0,,yes,yes
city,Gulfishan Colony SO,,0,,yes,yes
city,"Gulistan-E-Jauhar Block-18, PO",,0,,yes,yes
city,Gulshan-E-Hadeed PO,,0,,yes,yes
city,"Gulshan-E-Iqbal Block-01, PO",,0,,yes,yes
city,"Gulshan-E-Iqbal Block-03, NPO",,0,,yes,yes
city,"Gulshan-E-Iqbal Block-03, PO",,0,,yes,yes
city,"Gulshan-E-Iqbal Block-05, NPO",,0,,yes,yes
city,Gulshan-E-Maymar PO,,0,,yes,yes
city,Gulshan-E-Saeed (KP-1816),,0,,yes,yes
city,Gunj Moghal Pura PO,,0,,yes,yes
city,H.M. Pole NPO,,0,,yes,yes
city,Habib Abad PO,,0,,yes,yes
city,Hafizabad (KP-852) PO,,0,,yes,yes
city,Hali Road TSO,,0,,yes,yes
city,Hamdard NPO,,0,,yes,yes
city,Hamdard PO,,0,,yes,yes
city,Haripur City PO,,0,,yes,yes
city,Haripur NPO,,0,,yes,yes
city,Hayat Sir Road PO,,0,,yes,yes
city,Hazara Town PO,,0,,yes,yes
city,High Court PO,,0,,yes,yes
city,High Court Sukkur PO,,0,,yes,yes
city,Hoti PO,,0,,yes,yes
city,Hudda PO,,0,,yes,yes
city,Hussaind Pura SO,,0,,yes,yes
city,Hyderabad Market NPO,,0,,yes,yes
city,Hyderabad Market TSO,,0,,yes,yes
city,Hyderabad NPO,,0,,yes,yes
city,Hyderabad R.S. TSO,,0,,yes,yes
city,Ibrahim Hyderi PO,,0,,yes,yes
city,Ichhra PO,,0,,yes,yes
city,Industrial Area Hub PO,,0,,yes,yes
city,Industrial Trading Estaes NPO,,0,,yes,yes
city,Internatinal Islamic University PO,,0,,yes,yes
city,Iqbal Colony SO,,0,,yes,yes
city,Iron Market SO,,0,,yes,yes
city,Islamabad GPO NPO,,0,,yes,yes
city,"Islamabad, Cabinet Block SO",,0,,yes,yes
city,"Islamabad, E-8 (Navel H.Q.) SO",,0,,yes,yes
city,"Islamabad, E-9 (Air H.Q.) SO",,0,,yes,yes
city,"Islamabad, F-10 Markaz NPO",,0,,yes,yes
city,"Islamabad, F-10 Markaz SO",,0,,yes,yes
city,"Islamabad, F-6/1 Markaz SO",,0,,yes,yes
city,"Islamabad, F-7/4 SO",,0,,yes,yes
city,"Islamabad, F-8/M NPO SO",,0,,yes,yes
city,"Islamabad, Fpsc SO",,0,,yes,yes
city,"Islamabad, G-6/1 SO",,0,,yes,yes
city,"Islamabad, G-7 Markaz NPO",,0,,yes,yes
city,"Islamabad, G-7 Markaz SO",,0,,yes,yes
city,"Islamabad, G-8/3 (Pims) SO",,0,,yes,yes
city,"Islamabad, G-9/4 SO",,0,,yes,yes
city,"Islamabad, G-9/Markaz NPO",,0,,yes,yes
city,"Islamabad, I-10/4 Ponpo",,0,,yes,yes
city,"Islamabad, I-9 Market SO",,0,,yes,yes
city,"Islamabad, I-9/4 SO",,0,,yes,yes
city,"Islamabad, Pakistan Engineering Council. SO",,0,,yes,yes
city,"Islamabad, Prime Minister Secretariat NPO",,0,,yes,yes
city,"Islamabad, Shah Allah Ditta SO",,0,,yes,yes
city,"Islamabad,S. Block SO",,0,,yes,yes
city,Islamia College SO,,0,,yes,yes
city,Islamia University TSO,,0,,yes,yes
city,Islamic Centre NPO,,0,,yes,yes
city,Islamic Centre PO,,0,,yes,yes
city,Islampura PO,,0,,yes,yes
city,Islampura SO,,0,,yes,yes
city,Istaqlalabad SO,,0,,yes,yes
city,Ittehad Town PO,,0,,yes,yes
city,Jaboka PO,,0,,yes,yes
city,Jacobabad NPO,,0,,yes,yes
city,Jada SO,,0,,yes,yes
city,Jafferabad TSO,,0,,yes,yes
city,Jahangir Town PO,,0,,yes,yes
city,Jamia Ashrafia PO,,0,,yes,yes
city,Jamia Masjid PO,,0,,yes,yes
city,Jamia Masjid TSO,,0,,yes,yes
city,Jampur NPO,,0,,yes,yes
city,Jangle Khel PO,,0,,yes,yes
city,Jaranwala NPO,,0,,yes,yes
city,Jauharabad NPO,,0,,yes,yes
city,Jehangir Road PO,,0,,yes,yes
city,Jhanda Chichi PO,,0,,yes,yes
city,Jhelum Cantt SO,,0,,yes,yes
city,Jhelum City NPO,,0,,yes,yes
city,Jhelum City SO,,0,,yes,yes
city,Jhelum GPO NPO,,0,,yes,yes
city,Jinnah Colony NPO,,0,,yes,yes
city,Jinnah Colony PO,,0,,yes,yes
city,Jinnah Islamia College PO,,0,,yes,yes
city,"Jinnah Termianl Set-I, PO",,0,,yes,yes
city,"Jinnah Terminal Set-Ii, PO",,0,,yes,yes
city,"Jinnah Terminal Set-Iii, PO",,0,,yes,yes
city,Jutial SO,,0,,yes,yes
city,Kabli Gate TSO,,0,,yes,yes
city,Kal Pani PO,,0,,yes,yes
city,Kala Gujran NPO,,0,,yes,yes
city,Kamalia NPO,,0,,yes,yes
city,Kamyab NPO,,0,,yes,yes
city,Kamyab PO,,0,,yes,yes
city,Kanak Mandi TSO,,0,,yes,yes
city,Karachi Alhydri GPO NPO,,0,,yes,yes
city,Karachi City GPO NPO,,0,,yes,yes
city,Karachi GPO NPO,,0,,yes,yes
city,Karachi Saddar GPO/ NPO,,0,,yes,yes
city,Karak City SO,,0,,yes,yes
city,Kashmiri Moh TSO,,0,,yes,yes
city,Kasur Kutchery SO,,0,,yes,yes
city,Kasur Mandi SO,,0,,yes,yes
city,Kasur NPO,,0,,yes,yes
city,Kasurpura PO,,0,,yes,yes
city,Kathore EDSO,,0,,yes,yes
city,Keamari NPO,,0,,yes,yes
city,Khadim Ali Rd. TSO,,0,,yes,yes
city,Khadizai PO,,0,,yes,yes
city,Khairul Madaris SO,,0,,yes,yes
city,Khaliq Maket SO,,0,,yes,yes
